date,rate,daily_return_pct,log_return,ma_7d,ma_21d,ma_63d,volatility_20d,year,month,day_of_week
2013-09-12,0.8136402595812415,0.9814150928874277,0.00976630494012587,0.7995683841366538,0.7916191503836304,0.7894798349746679,0.7358596885192921,2013,9,3
2013-09-13,0.814494884518777,0.10503719886911789,0.00104982073401505,0.8032423534887964,0.7919805373204967,0.7897390894516206,0.7352223370447069,2013,9,4
2013-09-16,0.821110223151165,0.8122013726699295,0.008089207687567046,0.8079736814332925,0.7925840787861433,0.7900677280034212,0.7530786457582944,2013,9,0
2013-09-17,0.8219582743553449,0.10328104318628739,0.0010322774501167198,0.8118635963355728,0.7931041156240293,0.7907366018229439,0.6438105380620147,2013,9,1
2013-09-18,0.8220662479990148,0.013136146570791318,0.0001313528385459839,0.8149639221578682,0.7942457003945141,0.7914819114988889,0.6011797577350418,2013,9,2
2013-09-19,0.8393753485778026,2.105560302581422,0.020836997078528513,0.8197682736656444,0.796532910487895,0.7925645208603264,0.6441861227715445,2013,9,3
2013-09-20,0.8366247755834829,-0.3276928490907105,-0.0032823093794814295,0.8241814305381183,0.7991601161023083,0.7935368117918469,0.6291646413355244,2013,9,4
2013-09-23,0.8379652605459057,0.16022534851276582,0.0016009712464771786,0.8276564306759276,0.8020569752194271,0.7944809941929447,0.6262058056551522,2013,9,0
2013-09-24,0.8285468298382632,-1.1239643397038535,-0.011303285514713851,0.8296638514358542,0.8042502043053598,0.7952012124931856,0.6816870228156279,2013,9,1
2013-09-25,0.8227624444038263,-0.6981362098224531,-0.007005845826322354,0.8298998830433771,0.8063645423942175,0.7958967694916327,0.698422799447025,2013,9,2
2013-09-26,0.8298905692856265,0.8663648821459313,0.008626334778303796,0.8310330680334176,0.8089849447881492,0.7967328938121486,0.7097269601587491,2013,9,3
2013-09-27,0.8267880046417883,-0.3738522594019855,-0.003745528335812792,0.8317076046966708,0.811331169300427,0.7975350240182434,0.7206586825644198,2013,9,4
2013-09-30,0.8287309769268533,0.23500247634904436,0.0023472677737804704,0.8301869801751066,0.8138109158439468,0.7984038474229416,0.7172126588999224,2013,9,0
2013-10-01,0.8283322129193912,-0.048117425143290316,-0.00048129005291169813,0.8290023283659507,0.8160420074143544,0.7991776014375827,0.717696203803707,2013,10,1
2013-10-02,0.8235831809872028,-0.5733245499955575,-0.005749743640751287,0.8269477455718501,0.8180575201281438,0.7998192218623807,0.7246927181089364,2013,10,2
2013-10-03,0.8282963685108456,0.5722782631371048,0.005706469718095436,0.8269119653822191,0.8199393901022899,0.800659521216494,0.7247359394848742,2013,10,3
2013-10-04,0.8305633630697787,0.27369364941305374,0.0027331979034140585,0.8280263823344981,0.8219666489370561,0.8013680153093128,0.7108083023271193,2013,10,4
2013-10-07,0.8278638526290106,-0.325021613136256,-0.0032555095567759484,0.827736851383553,0.8235445052508478,0.8020435880449027,0.7112122608442105,2013,10,0
2013-10-08,0.8327301723609151,0.5878164285650023,0.00586095528326297,0.8285857324862853,0.8250857531136081,0.8027797561862661,0.7083255940620335,2013,10,1
2013-10-09,0.8307210031347961,-0.24127494028739482,-0.0024156647730302905,0.8288700219445628,0.8262750919284381,0.8036157030379227,0.7133427512931334,2013,10,2
2013-10-10,0.8253735895089966,-0.6437075270302017,-0.006457882579527063,0.8284473614573636,0.8272103734538109,0.8044250373730799,0.7068079645711998,2013,10,3
2013-10-11,0.8342660352991821,1.0773843388271587,0.010716219058451937,0.829973483501932,0.8281925532499034,0.8051765202274017,0.7416398773185116,2013,10,4
